Fecha,Tarea Crítica,Estado
17 de Junio,Lanzar oficialmente el Call for Abstracts para panelistas y estudiantes,Completo
08 de Julio,Enviar propuestas de financiación a Sponsors,Completo
15 de Julio,Confirmar aliados (universidades y comunidades académicas),Completo
25 de Julio,Cotizar plataforma de streaming y soporte técnico,Completo
28 de Julio,Enviar correos de confirmación para los moderadores señalando que el encuentro se grabará,Completo
24 de Junio,Promoción intensiva de la convocatoria en redes.,En proceso
23 de Julio,Enviar correos de invitación a personas e instituciones interesadas en participar (STEM Sociales etc),En proceso
02 de Agosto,"Coordinación con los moderadores, panelistas y Keynote Speakers",En proceso
05 de Agosto,Realización de eventos paralelos para promocionar el Encuentro,En proceso
18 de Agosto,Publicar programa preliminar y abrir inscripciones al público general,En proceso
09 de Agosto,Cerrar recepción de propuestas (Deadline extendido) e iniciar revisión por pares,Pendiente
10 de Agosto,Enviar notificaciones de aceptación a las ponencias seleccionadas,Pendiente
12 de Agosto,Seleccionar y organizar al equipo de estudiantes voluntarios,Pendiente
14 de Agosto,Confirmar fondos para becas de movilidad de 10 estudiantes regionales,Pendiente
15 de Agosto,Reservar catering y definir logística de espacios en sede,Pendiente
20 de Agosto,Contratar servicios de traducción simultánea y soporte híbrido,Pendiente
22 de Agosto,Publicación del programa final y libro de resúmenes,Pendiente
24 de Agosto,Diseño e impresión de materiales (señalética diplomas),Pendiente
24 de Agosto,Campaña final de recordatorio para inscripciones,Pendiente
24 de Agosto,Confirmar itinerarios de viaje y asistencia final de los 18 participantes,Pendiente
24 de Agosto,Enviar enlaces de acceso a todos los inscritos,Pendiente
